uid,gender,status,statusUpdatedAt,statusPrevious,age,areaCode,state,recurrence,activation date,end portability date,current package
3lKWOgi584ew1SHVf4vKXUCdPQ72,masculino,active,2/16/2021,activationComplete,28,11,SP,monthly,2/16/2021,2/20/2021,madePackage-1
3mUfIubSuGhzcRZTwqpQ9TXciSf1,masculino,paused,3/6/2021,paymentFailedSubscription,21,12,SP,weekly,2/24/2021,,customPackage
3meMCzsjGaTyCH0WlibSyahpuPr2,masculino,canceled,12/20/2020,cancelRequested,41,19,SP,weekly,11/13/2020,,customPackage
3n71asf2DZRPgrIzJHcmtv1Iyos2,masculino,canceled,12/18/2020,cancelRequested,28,62,GO,monthly,11/6/2020,,customPackage
3pFLbGYu2HTX2fs4nsovS7A9UPd2,masculino,active,3/5/2021,processingSubscription,30,11,SP,monthly,11/5/2020,,customPackage
3pO0GUFW4aXXCEwzPCYvUHrfiAB2,masculino,active,2/16/2021,processingSubscription,32,15,SP,monthly,11/9/2020,11/13/2020,customPackage
3r2mq0cj50Qyj7SRWTFQMfOKoUk2,feminino,paused,2/28/2021,paymentFailedSubscription,31,11,SP,weekly,10/26/2020,,customPackage
3r3P0EhvYzbzaQAS8vyoKejVYyD2,feminino,paused,1/28/2021,paymentFailedSubscription,28,11,SP,weekly,10/6/2020,,customPackage
3rNXXOBTXjOFKyExmWe2vuUmLuY2,masculino,active,3/2/2021,paused,32,18,SP,monthly,10/19/2020,,madePackage-0
3rY3kY1vTLaJ3Jj89z3H2podTao2,masculino,paused,1/29/2021,active,22,11,SP,weekly,10/26/2020,,customPackage
3rj9AFsLqUWkRmGRKjCDiheHZDf1,masculino,active,2/25/2021,processingSubscription,29,11,SP,monthly,12/25/2020,12/30/2020,customPackage
3sSc5QryzBYHhQZZentxJCqRmEg2,feminino,active,3/5/2021,processingSubscription,29,11,SP,weekly,10/9/2020,,customPackage
3u2tZdUxrCSlfnYASYQKYFF3Yhp2,masculino,canceled,12/18/2020,cancelRequested,19,15,SP,weekly,9/10/2020,,customPackage
3uECL7qvQMeBHssnEMNyGj0ciIp2,masculino,active,3/3/2021,processingSubscription,23,11,SP,weekly,7/1/2020,,customPackage
3w1gZU7IKaMQYDGIy7THY7nK5wB3,masculino,active,3/5/2021,processingSubscription,24,14,SP,monthly,10/13/2020,10/18/2020,customPackage
3w4XIcEP7TN4T4EJBCw87ATTf092,feminino,canceled,12/18/2020,cancelRequested,53,12,SP,weekly,9/25/2020,,customPackage
3wzKP25zEMeOmtg7la5wlbM8deq1,masculino,canceled,12/18/2020,cancelRequested,21,18,SP,weekly,8/4/2020,,customPackage
3x5HEqFzaSWTNgySvu1UHpIQd6E2,masculino,canceled,12/18/2020,cancelRequested,26,19,SP,weekly,7/31/2020,,customPackage
3xCcv6qWQkajJd02MOdH4lNTF5Y2,masculino,paused,3/2/2021,paymentFailedSubscription,23,14,SP,monthly,12/11/2020,12/16/2020,customPackage
3zPbiWqPxSZxrKBiDHxStpcI2f43,feminino,active,2/17/2021,activation,51,13,SP,monthly,2/17/2021,,customPackage
41dCT7LhSxOjq65TBqGCerkJt3c2,masculino,paused,2/15/2021,active,21,19,SP,weekly,2/8/2021,,customPackage
41vYGbWHnnO4cJSoVUdDpxU8KZ32,masculino,canceled,12/18/2020,cancelRequested,24,11,SP,weekly,7/28/2020,,customPackage
41wLi8dVoAXqXBrECYBBt49l3Oi2,masculino,active,3/8/2021,paused,31,11,SP,weekly,7/31/2020,8/5/2020,customPackage
43cLBMJOAgNqITXb8zBztxRfBXS2,feminino,active,3/8/2021,processingSubscription,34,62,GO,weekly,11/9/2020,11/12/2020,customPackage
45DTRvWINXcUx9fdEqz44QDwac53,masculino,cancelRequested,2/23/2021,paused,26,14,SP,weekly,8/14/2020,,customPackage
45K6G2JGk4NxxLOujywNBtoJCS63,masculino,canceled,12/31/2020,cancelRequested,20,11,SP,weekly,7/31/2020,8/5/2020,customPackage
460Bt1IIlfcTzC0eVYp1VwaNMiq2,prefiro não dizer,canceled,12/18/2020,cancelRequested,24,11,SP,weekly,8/4/2020,,customPackage
47HLEMPnw5dMl1JdSXg4t2AQHgq1,masculino,cancelRequested,3/1/2021,paused,24,15,SP,monthly,10/29/2020,,customPackage
47JE9EPmcYfKHVdiMXOhBPmevNk1,masculino,active,2/23/2021,processingSubscription,34,11,SP,monthly,10/16/2020,10/21/2020,customPackage
48HGllL33EMeihUbcv0ZQsYogvk2,masculino,canceled,12/18/2020,cancelRequested,25,11,SP,weekly,8/1/2020,,customPackage
48MzFqR1B1gLmV9NVT2Sbelje9X2,masculino,active,3/8/2021,processingSubscription,21,17,SP,monthly,7/16/2020,7/23/2020,customPackage
48QWiKJ8uvSNOBYUmWghoNTrtQL2,feminino,active,3/8/2021,processingSubscription,21,11,SP,weekly,12/7/2020,,customPackage
49NcJV59Kve5QpBKjfrO3V1d1Tn1,masculino,active,2/15/2021,processingSubscription,19,11,SP,monthly,1/15/2021,,customPackage
4AcepEJ9BwOu0uVZbdthc2MXPmH3,masculino,paused,2/21/2021,paymentFailedSubscription,23,19,SP,monthly,12/18/2020,,customPackage
4BNC1wRFWbUZu6KuFFFL5MGeh9w2,masculino,paused,3/8/2021,paymentFailedSubscription,31,15,SP,monthly,10/29/2020,11/4/2020,customPackage
4BWE7sskYCb1KMXQ7btph3kmggK2,masculino,active,2/20/2021,processingSubscription,30,11,SP,monthly,1/6/2021,,customPackage
4Be6GorBXrb156xJAOdtGWD1P4a2,masculino,canceled,3/6/2021,cancelRequested,35,11,SP,weekly,7/31/2020,,customPackage
4C5oFPpCcjQO5GH6zpbvkmnmCcC2,masculino,canceled,12/18/2020,cancelRequested,20,19,SP,weekly,10/22/2020,,customPackage
4CMjNlJypXQcp3POrxac5Vh4GZ02,masculino,canceled,12/18/2020,cancelRequested,24,19,SP,weekly,8/5/2020,,customPackage
4CPVo6nTSAQW8WYu9omXS3FaqoE2,feminino,active,3/5/2021,activation,34,11,SP,monthly,3/5/2021,,customPackage
4CVxymgEZofDQ7unT6QbEBVJ1Ay2,masculino,active,2/24/2021,processingSubscription,21,62,GO,monthly,11/28/2020,12/2/2020,customPackage
4D23Q0dt3JY8SBzLOVtxsdMXUgz2,masculino,active,3/3/2021,processingSubscription,23,11,SP,weekly,3/18/2020,,customPackage
4D8yzrT7tkayaduvrtlIlCW41Jc2,masculino,active,3/8/2021,paused,19,15,SP,monthly,12/28/2020,,customPackage
4DAJ6fvDAQPkGGUmfgA3sObkO0r1,masculino,paymentFailedSubscription,3/8/2021,active,51,11,SP,weekly,2/15/2021,,customPackage
